countries,totalcases,new cases,totaldeath,todays death,totalrecoveries
USA,"560,433",+133,"22,115 ",+10,"32,634"
Spain,"166,831",,"17,209 ",,"62,391"
Italy,"156,363",,"19,899 ",,"34,211"
France,"132,591",,"14,393 ",,"27,186"
Germany,"127,854",,"3,022 ",,"60,300"
UK,"84,279",,"10,612 ",,N/A
Iran,"71,686",,"4,474 ",,"43,894"
Turkey,"56,956",,"1,198 ",,"3,446"
Belgium,"29,647",,"3,600 ",,"6,463"
Netherlands,"25,587",,"2,737 ",,250
Switzerland,"25,415",,"1,106 ",,"12,700"
Canada,"24,383",,717 ,,"7,172"
Brazil,"22,318",+126,"1,230 ",+7,173
Portugal,"16,585",,504 ,,277
Russia,"15,770",,130 ,,"1,291"
Austria,"13,945",,350 ,,"6,987"
Israel,"11,145",,103 ,,"1,627"
S. Korea,"10,537",+25,217 ,+3,"7,447"
Sweden,"10,483",,899 ,,381
Ireland,"9,655",,334 ,,25
India,"9,240",+35,331 ,,"1,096"
Peru,"7,519",,193 ,,"1,798"
Ecuador,"7,466",,333 ,,501
Japan,"7,370",,123 ,,784
Chile,"7,213",,80 ,,"2,059"
Poland,"6,674",,232 ,,439
Norway,"6,525",,128 ,,32
Australia,"6,351",+38,61 ,+2,"3,338"
Romania,"6,300",,316 ,,852
Denmark,"6,174",,273 ,,"2,123"
Czechia,"5,991",,138 ,,464
Pakistan,"5,374",+144,93 ,+2,"1,095"
Malaysia,"4,683",,76 ,,"2,108"
Mexico,"4,661",+442,296 ,+23,"1,843"
Philippines,"4,648",,297 ,,197
Saudi Arabia,"4,462",,59 ,,761
Indonesia,"4,241",,373 ,,359
UAE,"4,123",,22 ,,680
Serbia,"3,630",,80 ,,400
Panama,"3,400",,87 ,,29
Luxembourg,"3,281",,66 ,,500
Qatar,"2,979",,7 ,,275
Finland,"2,974",,56 ,,300
Dominican Republic,"2,967",,173 ,,131
Ukraine,"2,777",,83 ,,89
Colombia,"2,776",,109 ,,270
Belarus,"2,578",,26 ,,203
Thailand,"2,551",,38 ,,"1,218"
Singapore,"2,532",,8 ,,560
Argentina,"2,208",+66,95 ,+5,468
South Africa,"2,173",,25 ,,410
Greece,"2,114",,98 ,,269
Egypt,"2,065",,159 ,,589
Algeria,"1,914",,293 ,,591
Iceland,"1,701",,8 ,,889
Moldova,"1,662",,31 ,,94
Morocco,"1,661",,118 ,,177
Croatia,"1,600",,23 ,,373
Hungary,"1,410",,99 ,,118
Iraq,"1,352",,76 ,,640
New Zealand,"1,349",+19,5 ,+1,546
Estonia,"1,309",,25 ,,98
Kuwait,"1,234",,1 ,,142
Slovenia,"1,205",,53 ,,150
Bahrain,"1,136",,6 ,,558
Azerbaijan,"1,098",,11 ,,250
Lithuania,"1,053",,23 ,,97
Armenia,"1,013",,13 ,,197
Bosnia and Herzegovina,"1,009",,39 ,,193
Hong Kong,"1,005",,4 ,,360
Kazakhstan,961,+10,10 ,,99
Uzbekistan,865,,4 ,,66
North Macedonia,828,,34 ,,41
Cameroon,820,,12 ,,98
Slovakia,742,,2 ,,23
Diamond Princess,712,,11 ,,619
Tunisia,707,,31 ,,43
Bulgaria,675,,29 ,,68
Cuba,669,,18 ,,92
Latvia,651,,5 ,,16
Andorra,638,,29 ,,128
Cyprus,633,,11 ,,65
Lebanon,630,,20 ,,80
Bangladesh,621,,34 ,,39
Afghanistan,607,,19  ,+1,32
Oman,599,,4 ,,109
Costa Rica,595,,3 ,,56
Ivory Coast,574,,5 ,,85
Ghana,566,,8 ,,4
Niger,529,,12 ,,75
Burkina Faso,497,,27 ,,161
Uruguay,480,,8 ,+1,231
Albania,446,,23 ,,217
Channel Islands,431,,9 ,,48
Kyrgyzstan,419,+42,5 ,,67
Honduras,397,+4,25 ,,7
Jordan,389,,7 ,,201
Réunion,389,, ,,40
Taiwan,388,,6 ,,109
Malta,378,,3 ,,44
San Marino,356,,35 ,,53
Bolivia,330,+30,27 ,+3,2
Mauritius,324,,9 ,,42
Nigeria,323,,10 ,,85
Palestine,290,,2 ,,58
Senegal,280,,2 ,,171
Montenegro,272,,3 ,,5
Vietnam,262,, ,,144
Georgia,257,,3 ,,67
Guinea,250,, ,,17
DRC,234,,20 ,,16
Isle of Man,228,,2 ,,112
Djibouti,214,,2 ,,36
Sri Lanka,210,,7 ,,56
Kenya,197,,8 ,,25
Mayotte,196,,3 ,,59
Faeroe Islands,184,, ,,157
Venezuela,181,,9 ,,93
Martinique,155,,6 ,,50
Guatemala,155,,5 ,,19
Paraguay,147,+13,6 ,,22
Guadeloupe,143,,8 ,,67
Brunei ,136,,1 ,,106
Gibraltar,129,, ,,84
Rwanda,126,, ,,25
El Salvador,125,,6 ,,21
Cambodia,122,, ,,77
Trinidad and Tobago,113,,8 ,,16
Madagascar,106,, ,,20
Mali,105,,9 ,,22
Monaco,93,,1 ,,6
Aruba,92,, ,,32
French Guiana,86,, ,,51
Liechtenstein,79,,1 ,,55
Togo,76,,3 ,,29
Jamaica,72,,4 ,,16
Barbados,71,,4 ,,11
Ethiopia,71,,3 ,,10
Congo,60,,5 ,,5
Bermuda,57,,4 ,,29
Uganda,54,, ,,4
Cayman Islands,53,,1 ,,6
French Polynesia,53,, ,,
Sint Maarten,50,,9 ,,5
Liberia,50,,5 ,,3
Gabon,49,,1 ,,1
Bahamas,46,,8 ,,5
Guyana,45,,6 ,,8
Macao,45,, ,,10
Zambia,43,,2 ,,30
Myanmar,41,,4 ,,2
Guinea-Bissau,38,, ,,
Benin,35,,1 ,,5
Eritrea,34,, ,,
Haiti,33,,3 ,,
Tanzania,32,,3 ,,5
Saint Martin,32,,2 ,,11
Syria,25,,2 ,,5
Libya,25,,1 ,,9
Somalia,25,,1 ,,2
Antigua and Barbuda,21,,2 ,,
Equatorial Guinea,21,, ,,3
Mozambique,21,, ,,2
Maldives,20,, ,,14
Angola,19,,2 ,,4
Sudan,19,,2 ,,2
Laos,19,, ,,
Chad,18,, ,,2
New Caledonia,18,, ,,1
Mongolia,17,+1, ,,4
Dominica,16,, ,,8
Fiji,16,, ,,
Namibia,16,, ,,3
Saint Lucia,15,, ,,4
Zimbabwe,14,,3 ,,
Belize,14,,2 ,,
Curaçao,14,,1 ,,8
Grenada,14,, ,,
Eswatini,14,, ,,7
Malawi,13,,2 ,,
Botswana,13,,1 ,,
Nepal,13,+1, ,,1
Saint Kitts and Nevis,12,, ,,
St. Vincent Grenadines,12,, ,,1
Greenland,11,, ,,11
Montserrat,11,+2, ,,1
Seychelles,11,, ,,
Suriname,10,,1 ,,4
Sierra Leone,10,, ,,
MS Zaandam,9,,2 ,,
Gambia,9,,1 ,,2
Nicaragua,9,,1 ,,4
Turks and Caicos,9,,1 ,,
Cabo Verde,8,,1 ,,1
CAR,8,, ,,
Vatican City,8,, ,,2
Mauritania,7,,1 ,,2
St. Barth,6,, ,,4
Western Sahara,6,, ,,
Bhutan,5,, ,,2
Burundi,5,, ,,
Falkland Islands,5,, ,,1
Sao Tome and Principe,4,, ,,
South Sudan,4,, ,,
Anguilla,3,, ,,
British Virgin Islands,3,, ,,2
Caribbean Netherlands,3,, ,,
Papua New Guinea,2,, ,,
Timor-Leste,2,, ,,1
Saint Pierre Miquelon,1,, ,,
Yemen,1,, ,,
China,"82,160",+108,"3,341 ",+2,"77,663"
